tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
8335,2,1,,,1500000US060730083352,60730083352,30.8,29.1,41.0,1467,1318,789,0,0,529,0,0,0,0,0,149,0,14,0,0,0,0,0,0,0,0,39,14,79,85,76,82,141224,13,376,46267,291,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,632400
8335,3,2,,1.0,1500000US060730083353,60730083353,37.1,35.8,38.6,8923,8255,4332,220,0,3501,0,0,202,0,202,668,0,96,70,0,12,30,71,40,41,31,121,233,255,290,604,778,150898,17,2655,48068,1915,757,0,0,20,0,0,0,0,28,0,47,9,24,16,47,0,0,0,152,0,43,353,18,708800
8337,3,1,,,1500000US060730083373,60730083373,38.9,35.5,42.8,1723,1582,1038,46,0,204,0,0,294,0,294,141,7,16,17,0,0,0,25,7,0,6,8,43,127,51,84,91,120000,13,469,38472,417,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,40,0,513400
8346,1,1,,5.0,1500000US060730083461,60730083461,36.8,34.0,39.5,3178,2708,1308,9,11,1304,0,0,76,14,62,470,7,0,0,22,14,6,10,6,11,0,77,158,99,165,233,236,140119,8,1036,52879,786,258,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,34,76,126,18,640800
8349,2,1,,2.0,1500000US060730083492,60730083492,41.4,37.3,44.8,2037,1777,517,84,0,1049,0,0,127,0,127,260,34,0,12,69,0,0,13,30,40,31,48,93,77,54,48,16,78750,31,534,24756,346,219,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,14,9,34,95,24,5,406600
8351,3,1,,,1500000US060730083513,60730083513,30.5,34.5,29.0,682,602,255,4,0,291,0,0,52,0,52,80,0,0,13,5,10,34,5,12,0,32,54,29,41,10,0,9,61026,7,247,29355,103,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,50,49,21,0,404600
8352,1,1,,,1500000US060730083521,60730083521,39.3,41.2,38.3,1258,960,361,98,0,393,52,0,56,0,56,298,0,12,9,0,0,11,0,0,9,8,71,64,33,84,9,19,95759,9,320,29049,265,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,48,0,418300
8355,2,1,,1.0,1500000US060730083552,60730083552,37.4,37.3,37.5,2723,2298,685,180,0,1322,0,12,99,0,99,425,22,11,17,0,22,6,6,11,12,40,95,98,117,82,113,58,101293,11,699,32765,498,212,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,34,7,45,83,17,451600
8357,1,3,,,1500000US060730083571,60730083571,32.8,32.8,32.8,1588,1468,438,22,0,941,0,0,67,0,67,120,11,21,25,0,5,5,0,16,40,14,22,110,48,64,13,20,83750,0,414,26346,235,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,131,20,5,363700
8359,1,2,,1.0,1500000US060730083591,60730083591,28.7,28.0,30.3,1684,1499,696,144,28,601,0,0,30,0,30,185,44,20,45,15,38,51,15,58,118,46,87,132,97,31,49,16,54286,26,836,36006,122,740,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,202,285,150,64,16,82400
8360,1,1,,,1500000US060730083601,60730083601,32.8,32.4,34.7,1836,1485,762,160,0,493,0,0,70,0,70,351,51,30,0,0,0,116,0,54,0,33,108,96,63,55,40,61,64982,0,707,33153,431,276,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,12,126,31,89,0,199100
8362,1,1,,1.0,1500000US060730083621,60730083621,35.6,39.1,33.6,1324,1217,979,70,0,158,0,0,10,0,10,107,104,0,44,26,8,75,20,58,5,53,5,42,111,41,7,34,42015,0,633,32667,278,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,83,108,67,83,418000
8501,2,1,,,1500000US060730085012,60730085012,35.2,29.3,45.7,2115,1959,1864,3,0,36,0,35,21,0,21,156,0,26,35,67,0,10,0,0,22,46,43,233,95,57,141,15,84051,11,779,37166,483,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,77,91,83,0,468600
8502,4,1,,,1500000US060730085024,60730085024,48.2,46.5,50.0,1420,1182,1031,18,0,90,0,30,13,0,13,238,0,35,59,15,14,35,0,13,11,66,169,66,22,34,0,0,63180,0,539,23509,363,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,54,72,13,0,453400
8502,5,2,,2.0,1500000US060730085025,60730085025,35.0,33.3,42.5,1531,843,781,0,0,49,0,0,13,0,13,688,0,45,0,22,13,17,25,38,14,69,44,170,34,47,0,19,73750,14,543,28812,176,381,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,24,32,162,116,14,0,397900
8503,1,4,,1.0,1500000US060730085031,60730085031,37.6,33.4,43.5,1657,1431,1283,45,0,66,0,0,37,0,37,226,101,69,0,46,32,43,21,14,30,125,100,177,46,0,41,12,51813,62,795,33955,294,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,44,334,113,0,0,0,661500
8503,2,16,,,1500000US060730085032,60730085032,40.1,36.5,41.5,1342,933,767,100,0,25,0,0,41,0,41,409,0,35,0,15,23,0,26,14,35,111,63,33,36,0,65,0,58510,0,456,24978,175,281,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,63,137,50,0,0,413500
8503,3,16,,1.0,1500000US060730085033,60730085033,46.2,43.4,53.8,2262,1747,1445,0,0,294,0,8,0,0,0,515,0,0,0,16,43,60,46,0,0,27,99,137,128,144,100,46,96364,9,837,39036,701,145,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,63,69,0,461400
8503,4,1,,1.0,1500000US060730085034,60730085034,34.5,31.6,39.6,1642,1502,1132,0,0,370,0,0,0,0,0,140,46,0,15,0,19,0,33,0,0,51,101,79,15,77,22,177,96955,21,614,52310,447,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,51,73,16,0,601000
8504,3,2,,,1500000US060730085043,60730085043,35.7,33.7,40.6,1161,915,634,28,0,144,0,0,109,0,109,246,44,18,0,79,18,0,86,17,89,55,50,36,25,9,12,6,46923,12,532,25258,326,218,0,0,0,0,0,0,0,0,41,12,0,0,0,0,0,0,9,28,61,0,55,12,467600
8504,4,1,,,1500000US060730085044,60730085044,54.0,53.8,55.5,760,735,705,0,0,30,0,0,0,0,0,25,0,0,0,0,0,10,13,0,0,105,45,67,30,40,27,12,80188,19,330,44188,339,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,456500
8504,5,2,,,1500000US060730085045,60730085045,50.0,48.9,50.2,1782,1614,1388,0,50,162,0,0,14,0,14,168,15,0,38,21,33,43,17,30,0,11,69,58,89,145,88,34,100691,19,672,40250,562,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,46,496900
8505,1,1,,3.0,1500000US060730085051,60730085051,41.3,38.1,51.5,1567,1195,1002,47,0,111,0,0,35,0,35,372,0,11,0,87,25,13,0,34,37,136,77,39,54,59,38,18,56884,0,628,31764,417,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,40,79,0,13,21,0,444600
8505,2,4,,,1500000US060730085052,60730085052,29.7,29.0,32.4,1130,960,527,115,39,254,0,0,25,0,25,170,116,13,35,0,0,18,19,47,23,11,18,50,21,22,0,50,41090,11,432,26605,162,281,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,39,45,71,43,39,12,0,500000
8505,4,2,,2.0,1500000US060730085054,60730085054,43.7,42.2,50.0,902,817,744,0,0,12,0,0,61,0,61,85,0,13,13,0,0,40,12,0,19,14,50,55,31,57,34,0,92864,13,325,35108,300,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,447600
8505,5,12,,1.0,1500000US060730085055,60730085055,40.6,46.1,40.3,1474,938,657,0,11,217,0,0,53,0,53,536,0,11,0,0,25,69,0,0,42,60,94,56,0,59,0,52,61298,0,468,28118,241,227,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,116,0,33,14,0,447100
8506,2,2,,,1500000US060730085062,60730085062,34.6,32.3,39.3,1787,1218,792,25,0,376,0,0,25,0,25,569,14,5,23,13,0,0,78,0,30,42,52,41,122,53,39,7,83068,10,509,26668,344,175,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,22,49,85,9,0,392200
8506,3,2,1.0,1.0,1500000US060730085063,60730085063,42.7,43.1,41.8,1602,1416,1313,8,0,95,0,0,0,0,0,186,16,9,8,0,0,15,0,37,17,28,49,145,81,36,71,34,90833,7,539,35958,352,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,130,12,0,419600
8507,1,1,,,1500000US060730085071,60730085071,41.5,42.1,40.6,1754,1509,662,0,0,770,0,0,77,0,77,245,0,15,18,19,41,0,0,19,30,0,77,144,85,65,43,17,88772,0,573,31165,558,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,518300
8507,2,3,,,1500000US060730085072,60730085072,47.4,47.8,40.7,855,695,433,169,0,0,0,0,93,0,93,160,0,0,41,0,0,0,37,0,13,0,68,64,0,22,10,106,90457,0,361,52839,184,177,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,77,41,13,0,0,410700
8507,3,1,,,1500000US060730085073,60730085073,40.2,28.3,40.9,1542,1295,470,315,0,276,0,0,234,0,234,247,0,93,36,31,0,26,72,0,72,39,86,55,35,14,0,0,47662,0,559,19659,178,381,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,15,14,114,175,0,0,21,475300
8507,6,1,,,1500000US060730085076,60730085076,34.6,30.5,40.3,1154,762,554,0,0,35,27,0,146,0,146,392,12,72,13,16,0,0,0,17,0,17,0,51,35,18,37,0,52059,0,288,23404,174,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,47,10,27,0,0,360500
8509,3,1,,,1500000US060730085093,60730085093,37.5,37.9,36.4,687,552,452,1,0,65,0,0,34,0,34,135,0,0,11,11,66,29,12,0,49,0,20,28,19,0,50,0,47939,11,284,30298,205,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,32,13,0,440500
8509,4,2,,1.0,1500000US060730085094,60730085094,37.0,36.2,37.9,3427,2722,1337,408,12,696,0,30,239,0,239,705,58,59,54,153,46,26,98,130,53,106,206,94,103,34,83,30,49153,10,1323,29300,458,875,0,0,0,45,10,22,20,58,0,36,0,9,0,0,10,0,44,300,204,105,0,12,316700
8509,5,22,,,1500000US060730085095,60730085095,30.5,30.9,29.0,1309,983,676,0,0,252,0,0,55,0,55,326,50,11,69,29,0,0,43,0,0,22,80,67,16,24,33,0,57273,0,444,22108,224,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,44,58,80,0,0,414500
8510,1,1,,,1500000US060730085101,60730085101,34.1,27.5,34.9,1965,1809,1165,75,0,502,0,0,67,0,67,156,85,21,0,0,79,17,78,79,0,29,0,93,45,75,59,13,44185,57,616,26077,248,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,118,13,108,150,0,250000
8511,1,14,,11.0,1500000US060730085111,60730085111,35.1,31.9,37.9,3100,2570,1490,185,0,752,0,0,143,29,114,530,62,65,7,65,25,41,50,45,54,81,130,222,209,143,169,14,77260,15,1367,39784,747,635,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,37,0,23,71,269,192,17,315600
8512,3,2,,1.0,1500000US060730085123,60730085123,42.8,44.4,42.0,2392,2139,1882,35,0,162,0,0,60,0,60,253,0,31,0,77,18,32,9,25,40,56,84,152,94,99,75,44,86382,8,828,34134,779,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,8,0,491300
8600,1,3,,1.0,1500000US060730086001,60730086001,41.2,41.3,41.0,2712,2034,1202,146,0,577,0,10,99,9,90,678,32,24,33,43,33,60,32,22,38,63,138,107,85,25,54,40,63274,19,810,24688,540,289,0,0,0,0,0,11,0,0,0,30,0,6,0,0,0,0,0,47,82,95,18,0,286900
8600,3,3,,3.0,1500000US060730086003,60730086003,28.5,28.4,29.8,879,681,105,35,0,516,0,0,25,0,25,198,32,15,19,0,0,39,0,0,0,26,82,6,38,11,0,0,60395,0,268,17826,61,207,0,0,0,0,0,0,0,40,0,0,0,0,0,46,32,13,0,31,9,30,0,6,359800
8702,1,4,,,1500000US060730087021,60730087021,43.1,41.9,44.1,1697,1343,826,159,3,310,11,0,34,0,34,354,55,0,6,9,0,23,9,11,0,31,33,65,20,44,84,5,84830,8,387,27654,244,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,105,30,10,353700
8702,2,1,,2.0,1500000US060730087022,60730087022,42.8,43.5,42.4,1701,1279,869,62,61,258,0,0,29,0,29,422,55,25,11,41,29,42,18,0,41,41,56,136,75,31,52,33,67386,0,686,33796,397,289,0,0,0,0,0,0,0,0,0,25,0,0,0,9,20,6,86,65,8,51,16,3,408300
8800,1,1,,3.0,1500000US060730088001,60730088001,28.5,25.0,30.3,2052,1569,157,195,16,1108,8,0,85,0,85,483,13,23,36,47,35,7,17,115,5,52,24,91,14,6,15,0,41667,49,451,13844,187,313,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,27,43,69,36,73,31,14,414700
8800,2,1,,3.0,1500000US060730088002,60730088002,32.4,27.6,43.2,1114,877,193,297,9,337,0,0,41,0,41,237,36,47,55,18,26,17,28,0,0,42,48,37,15,0,27,0,34583,36,360,19439,71,325,0,0,0,9,0,9,0,10,0,0,0,0,0,0,0,7,0,140,92,6,52,0,361200
8800,3,1,,,1500000US060730088003,60730088003,39.3,41.2,39.1,2086,1601,414,0,23,932,0,0,232,0,232,485,10,72,0,20,14,30,23,43,39,13,78,82,38,37,31,0,65278,5,525,19578,312,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,49,39,98,0,0,409600
8902,1,43,,,1500000US060730089021,60730089021,30.8,30.6,33.5,1074,962,683,58,9,176,0,0,36,0,36,112,27,18,35,11,77,27,22,0,30,100,59,143,37,21,36,7,57885,0,650,40175,214,436,0,0,0,0,0,0,0,27,0,0,0,0,26,11,0,0,0,20,0,303,49,0,245100
8902,2,5,,,1500000US060730089022,60730089022,46.6,41.8,54.2,1134,976,799,75,0,102,0,0,0,0,0,158,75,8,19,26,9,65,17,9,26,101,34,74,106,34,39,18,57344,8,652,42274,436,224,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,11,9,17,136,17,16,307000
9000,1,1,,,1500000US060730090001,60730090001,32.0,31.5,33.6,2903,1393,719,83,30,306,0,37,218,68,150,1510,83,53,60,27,32,55,72,49,53,40,27,159,106,32,45,70,47382,69,894,26914,300,663,0,0,0,0,0,0,0,0,24,9,0,0,0,0,7,47,110,145,174,74,65,8,430400
9101,1,1,,2.0,1500000US060730091011,60730091011,41.4,41.8,40.6,1013,935,716,178,1,40,0,0,0,0,0,78,13,0,14,0,16,15,12,0,20,37,32,170,56,0,12,9,86184,0,406,34726,292,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,63,38,0,0,628500
9101,2,1,,,1500000US060730091012,60730091012,45.4,39.2,54.2,2035,1698,1523,16,0,106,0,0,53,0,53,337,27,14,28,52,49,0,40,71,14,36,126,196,17,18,68,109,71299,0,865,39814,512,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,82,149,54,9,18,580000
9101,4,4,,,1500000US060730091014,60730091014,49.1,49.8,48.4,1792,1551,1224,0,0,256,28,0,43,0,43,241,26,0,34,10,0,21,0,32,12,102,74,61,31,78,106,95,86964,8,674,54598,614,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,58,0,614200
9102,2,1,,2.0,1500000US060730091022,60730091022,28.6,30.3,27.0,2082,1317,907,36,18,215,12,23,106,0,106,765,99,14,46,80,62,61,101,97,47,63,135,110,32,17,44,18,42824,17,1009,28191,126,900,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,23,36,423,299,92,11,0,447200
9103,4,2,,,1500000US060730091034,60730091034,43.3,44.4,42.9,971,810,748,0,0,13,1,0,48,0,48,161,8,58,7,15,16,34,28,9,16,17,34,41,63,32,25,10,59531,31,382,32779,226,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,55,43,10,15,25,11,0,559000
9104,2,1,,,1500000US060730091042,60730091042,56.1,52.3,56.8,1466,1407,1138,31,0,81,0,0,157,0,157,59,0,39,18,20,36,31,43,12,8,47,31,54,106,67,81,81,97000,14,660,52141,608,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,53,0,609300
9106,1,15,,,1500000US060730091061,60730091061,43.5,41.9,45.3,859,704,607,6,0,91,0,0,0,0,0,155,35,10,28,14,9,19,16,18,33,40,39,61,30,24,41,6,59063,9,414,37355,216,207,0,0,0,0,0,0,0,0,0,6,0,0,24,0,12,21,22,26,27,40,25,4,495300
9106,2,3,,2.0,1500000US060730091062,60730091062,19.5,19.7,19.4,2795,2433,1890,62,5,283,16,31,146,6,140,362,48,15,5,13,0,0,15,4,31,0,0,4,4,28,0,0,37917,4,163,4829,105,62,0,0,0,0,0,0,0,0,0,28,0,13,0,0,0,0,0,17,0,4,0,0,20600
9201,1,3,,4.0,1500000US060730092011,60730092011,28.2,28.3,28.0,1473,1177,407,350,0,340,0,0,80,0,80,296,0,30,27,11,26,9,22,0,33,44,82,66,36,51,11,10,66103,23,435,24470,50,408,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,9,7,59,39,162,109,0,433300
9201,3,1,,4.0,1500000US060730092013,60730092013,42.2,43.6,40.8,1410,1002,796,0,0,153,0,0,53,15,38,408,0,10,20,5,21,9,7,21,9,13,47,69,149,23,33,54,102059,9,481,38516,427,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,9,38,0,375100
9202,1,2,,2.0,1500000US060730092021,60730092021,34.0,31.4,38.6,1562,1334,958,53,0,169,0,21,133,0,133,228,51,20,18,18,23,0,0,28,7,64,82,61,105,110,45,53,83125,0,685,42403,238,447,0,0,0,0,0,0,0,0,0,0,9,11,0,15,9,0,0,0,0,145,248,10,433600
9301,3,1,,,1500000US060730093013,60730093013,29.9,32.2,28.2,1665,1141,522,211,87,311,0,0,10,0,10,524,31,23,30,16,46,37,85,29,9,43,92,64,46,30,59,0,51522,16,624,27075,189,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,325,44,20,0,24,178200
9304,1,4,,2.0,1500000US060730093041,60730093041,28.2,30.1,27.4,2734,2095,1458,174,0,267,0,13,183,0,183,639,107,18,45,0,54,19,37,18,0,198,294,229,89,214,31,17,69079,0,1370,40988,89,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,45,92,898,191,18,270700
9304,2,14,,1.0,1500000US060730093042,60730093042,36.1,39.8,30.5,1461,1330,1038,171,0,95,0,0,26,0,26,131,79,17,0,15,0,39,17,0,16,37,71,233,132,22,46,53,86380,0,777,52222,291,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,329,85,0,372600
9306,2,1,,,1500000US060730093062,60730093062,44.3,32.5,44.9,430,411,198,15,0,145,0,0,53,0,53,19,14,0,0,2,4,28,0,0,0,0,51,11,41,15,0,0,63710,12,154,30863,134,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,14,380700
9505,1,1,,,1500000US060730095051,60730095051,51.6,52.2,50.4,1347,1163,911,56,21,122,0,0,53,0,53,184,0,14,0,14,0,0,0,15,0,13,0,104,45,42,57,197,168229,16,485,64174,487,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,651100
9602,2,1,,3.0,1500000US060730096022,60730096022,45.7,38.5,48.5,773,565,376,61,13,60,0,0,55,0,55,208,8,7,9,18,16,29,14,27,25,35,37,89,8,17,9,8,54167,0,356,30432,208,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56,25,16,0,0,330800
9603,2,1,,,1500000US060730096032,60730096032,42.3,36.0,57.5,1207,926,673,69,0,141,0,0,43,0,43,281,0,21,39,137,28,0,28,23,12,118,59,115,22,0,0,30,53200,0,632,34678,317,315,0,0,0,0,0,0,0,0,0,0,0,13,38,0,0,0,24,29,162,19,15,15,230500
9603,3,1,,,1500000US060730096033,60730096033,29.4,28.9,30.8,1212,969,414,77,15,296,33,0,134,0,134,243,9,0,0,19,24,46,11,73,47,153,141,60,33,0,8,29,54460,0,653,37161,172,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56,204,134,76,0,0,212400
9603,4,5,,,1500000US060730096034,60730096034,26.6,26.3,32.5,1191,955,803,58,0,80,0,0,14,0,14,236,0,0,37,44,40,0,0,63,36,53,90,24,91,36,17,0,58438,0,531,31246,297,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,53,15,105,0,205800
9604,4,4,,,1500000US060730096044,60730096044,31.5,29.8,41.0,969,555,460,18,0,63,0,0,14,0,14,414,14,9,7,0,62,43,15,16,18,27,76,25,15,69,37,0,65529,0,433,34560,132,301,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,49,99,52,19,37,19,347800
9703,3,3,,1.0,1500000US060730097033,60730097033,48.5,42.2,49.9,1445,1275,1191,77,0,7,0,0,0,0,0,170,10,16,27,14,58,14,0,29,26,63,91,102,88,43,8,29,70278,0,618,34762,434,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,69,49,58,396800
9704,3,1,,3.0,1500000US060730097043,60730097043,46.9,46.8,47.5,1472,1397,1026,49,0,242,0,0,80,0,80,75,0,20,7,0,19,27,23,0,0,27,23,68,86,15,83,74,105938,0,472,39773,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496700
9706,2,2,,,1500000US060730097062,60730097062,43.4,46.3,43.1,1242,1055,906,29,29,91,0,0,0,0,0,187,0,24,0,13,64,0,0,34,15,14,61,17,72,36,67,56,94191,7,466,40018,354,119,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,34,17,15,7,0,564900
9706,5,1,,,1500000US060730097065,60730097065,60.8,66.1,57.5,782,772,718,10,0,29,0,0,15,0,15,10,0,0,0,37,15,15,0,33,50,46,37,10,0,35,38,59,59292,0,375,91872,315,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,13,675800
