tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
9801,1,1,,,1500000US060730098011,60730098011,37.1,37.8,35.5,1162,951,758,0,0,24,0,11,158,0,158,211,30,0,14,0,16,0,0,19,20,0,20,115,89,34,19,0,89792,19,357,30208,309,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,32,19,410700
9801,3,3,,,1500000US060730098013,60730098013,41.1,46.9,34.3,1473,1364,1144,50,24,67,0,0,79,0,79,109,108,0,32,86,0,61,41,28,16,35,19,120,70,20,21,46,44196,0,703,36236,346,357,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,17,0,47,142,133,0,0,415200
9802,1,4,,,1500000US060730098021,60730098021,51.8,51.9,51.6,1116,866,790,0,0,49,0,0,27,0,27,250,0,13,35,0,56,0,0,12,0,15,113,39,75,35,49,12,74469,13,441,35655,429,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,414500
9802,5,4,,4.0,1500000US060730098025,60730098025,31.4,29.1,43.1,605,520,303,17,0,97,0,9,94,0,94,85,0,0,12,0,14,0,0,12,14,30,36,69,0,0,11,0,61181,0,198,23179,107,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,62,12,0,427700
9804,1,2,,,1500000US060730098041,60730098041,46.1,48.2,40.0,1603,1230,1024,24,0,92,0,0,90,0,90,373,9,9,18,19,0,29,26,9,6,134,88,74,67,53,54,22,68906,19,598,35358,492,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,10,27,441800
9804,2,1,,,1500000US060730098042,60730098042,52.1,52.8,51.2,909,758,683,0,0,52,0,0,23,0,23,151,0,10,0,31,24,24,8,49,22,13,29,23,68,24,40,0,65375,14,351,32173,314,51,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,407500
9805,2,2,,,1500000US060730098052,60730098052,42.5,45.7,39.0,844,627,566,0,0,36,0,0,25,0,25,217,0,0,0,6,0,0,0,8,0,45,11,27,9,56,106,10,143827,8,270,43692,258,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,0,508200
9805,4,1,,1.0,1500000US060730098054,60730098054,32.8,26.9,39.7,2067,1851,1494,74,0,71,37,10,165,0,165,216,32,23,42,0,15,13,3,16,8,93,143,134,195,43,28,20,75656,18,790,34198,429,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,136,16,39,0,325000
9902,1,5,,,1500000US060730099021,60730099021,24.0,24.5,22.4,790,639,489,84,4,53,0,0,9,0,9,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,34390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
10001,1,2,,,1500000US060730100011,60730100011,42.6,48.3,38.6,1505,389,142,17,21,127,0,0,82,0,82,1116,0,0,45,8,43,37,25,73,0,10,33,59,8,22,56,0,43832,41,378,21034,271,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,90,0,49,293100
10003,1,1,,,1500000US060730100031,60730100031,36.9,39.6,32.9,1601,626,104,27,0,272,0,0,223,0,223,975,21,0,19,0,10,10,0,12,7,29,89,19,45,76,47,9,74875,21,372,25759,312,81,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,27,0,9,277300
10003,3,2,,,1500000US060730100033,60730100033,32.3,24.4,45.2,1745,639,182,234,0,132,28,0,63,0,63,1106,19,0,41,10,30,21,10,54,0,20,66,37,32,16,7,10,50188,39,334,15319,257,116,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,30,19,37,0,279100
10004,1,3,,1.0,1500000US060730100041,60730100041,39.8,38.4,41.1,2240,397,175,45,0,110,31,0,36,0,36,1843,32,50,7,78,30,17,32,11,21,15,40,48,41,77,0,0,43295,5,494,14886,432,67,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,0,8,240100
10004,2,8,,1.0,1500000US060730100042,60730100042,43.9,43.2,44.8,2315,684,242,26,0,405,11,0,0,0,0,1631,9,5,12,32,30,49,11,20,11,113,53,141,25,65,27,0,61397,11,592,19410,515,88,0,0,0,0,0,0,4,10,0,0,0,0,18,0,0,11,0,17,0,26,2,0,256100
10009,1,2,,,1500000US060730100091,60730100091,23.2,18.1,27.0,3302,152,47,92,0,13,0,0,0,0,0,3150,52,137,72,63,29,51,59,56,63,122,70,30,17,0,0,0,36625,122,699,10139,35,786,24,0,10,32,32,21,23,0,11,12,10,0,0,7,28,114,186,207,49,20,0,0,258300
10009,3,2,,,1500000US060730100093,60730100093,40.4,37.8,44.5,452,0,0,0,0,0,0,0,0,0,0,452,0,20,0,0,16,9,9,34,0,0,20,0,0,0,0,0,38750,35,73,10828,35,73,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,20,9,36,0,0,0,0,-
10009,4,2,,,1500000US060730100094,60730100094,25.0,22.2,26.5,811,164,37,0,0,116,0,0,11,0,11,647,24,0,17,19,22,23,0,9,25,7,0,22,24,0,0,0,34022,50,142,11811,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,19,76,55,19,0,0,0,-
10010,2,1,,1.0,1500000US060730100102,60730100102,32.4,30.2,41.8,2182,592,158,22,0,294,0,0,118,0,118,1590,36,116,38,59,21,15,44,27,46,45,79,38,35,21,35,0,37415,24,631,15973,294,361,8,0,0,83,0,8,18,0,0,0,0,0,0,0,0,8,120,30,36,44,0,6,267600
10010,3,1,,,1500000US060730100103,60730100103,33.3,27.2,35.9,1939,594,286,28,0,280,0,0,0,0,0,1345,32,70,28,0,0,31,33,41,17,36,20,110,26,48,19,0,53295,47,464,17826,237,274,0,0,0,19,5,0,0,0,27,0,16,0,0,17,15,0,45,77,32,21,0,0,144500
10011,1,1,,,1500000US060730100111,60730100111,42.7,39.7,46.9,1656,573,203,0,10,286,36,0,38,0,38,1083,0,42,16,30,19,30,47,8,0,20,70,59,10,33,39,5,65263,10,418,19715,310,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,16,0,24,13,36,247200
10013,1,4,,5.0,1500000US060730100131,60730100131,32.3,24.9,34.9,2723,152,104,0,0,48,0,0,0,0,0,2571,65,58,57,89,34,77,61,8,39,92,40,42,8,0,6,0,31268,34,642,10463,77,599,0,0,10,8,0,16,31,0,13,0,19,8,20,104,61,93,26,131,51,0,0,8,255200
10013,2,4,,1.0,1500000US060730100132,60730100132,29.0,24.4,33.7,3624,112,51,11,0,0,0,0,50,50,0,3512,72,119,100,78,77,62,60,76,51,84,16,77,8,0,0,0,29516,89,791,9299,98,782,0,0,19,17,14,0,8,0,0,6,41,16,9,51,19,217,118,193,9,9,9,27,255600
10014,2,2,,,1500000US060730100142,60730100142,29.7,27.8,30.5,16326,7452,2107,1137,0,3730,0,0,478,35,443,8874,76,48,47,27,73,82,116,175,187,332,361,685,792,621,263,174,92256,149,3910,25075,2411,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,349,926,310,14,384800
10015,1,3,,,1500000US060730100151,60730100151,28.8,29.0,28.7,2661,398,104,165,0,48,11,0,70,0,70,2263,19,33,3,44,0,20,18,0,24,18,105,132,66,73,50,12,77356,35,582,20641,434,183,0,0,0,9,10,0,3,5,0,0,9,4,0,28,5,24,6,38,0,20,22,0,377300
10103,1,4,,,1500000US060730101031,60730101031,28.4,28.4,28.6,2303,254,160,53,0,33,0,0,8,0,8,2049,63,51,41,31,46,30,96,36,26,66,16,16,46,13,0,0,35839,57,520,10924,281,296,12,0,0,0,0,0,0,23,46,94,5,0,7,36,16,15,8,9,7,0,0,18,32400
10103,2,3,,,1500000US060730101032,60730101032,26.5,26.3,26.7,2133,322,164,158,0,0,0,0,0,0,0,1811,12,0,35,0,17,31,27,54,0,35,37,76,78,12,0,0,54630,5,409,13930,70,344,0,6,0,0,0,0,0,10,0,0,9,0,7,6,0,42,6,92,53,108,5,0,286000
10103,3,22,,,1500000US060730101033,60730101033,29.9,27.2,33.6,2691,1077,537,235,0,154,0,0,151,0,151,1614,45,9,128,34,85,29,51,16,15,131,62,125,31,14,13,8,45278,33,763,17221,291,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,162,99,85,38,91,0,13,303000
10104,1,6,,,1500000US060730101041,60730101041,36.0,35.7,36.7,1670,766,517,139,0,110,0,0,0,0,0,904,22,17,0,16,9,51,0,30,0,102,96,79,32,56,0,11,60572,8,513,23996,277,244,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,28,0,35,77,68,10,0,241400
10104,2,38,,2.0,1500000US060730101042,60730101042,32.9,31.7,33.6,1619,808,532,1,0,275,0,0,0,0,0,811,18,0,0,16,29,8,63,18,0,63,79,77,46,21,16,18,65592,0,472,23304,381,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81,0,0,292100
10106,1,10,,,1500000US060730101061,60730101061,33.6,33.2,34.9,2370,290,201,25,0,58,0,0,6,0,6,2080,61,39,23,15,30,10,12,57,15,60,135,66,40,5,0,0,54500,95,473,14300,295,273,0,0,0,46,0,0,0,0,0,0,8,0,0,0,0,10,35,132,0,42,0,0,87900
10106,2,3,,,1500000US060730101062,60730101062,34.6,36.0,33.8,2160,258,170,36,0,39,0,0,13,0,13,1902,46,53,65,108,50,0,7,23,120,7,35,51,11,20,0,0,27167,40,556,12414,233,363,0,11,11,6,28,20,49,10,0,34,8,10,0,50,24,0,0,67,23,12,0,0,207100
10106,3,1,,,1500000US060730101063,60730101063,31.7,29.5,35.8,1342,28,18,0,0,10,0,0,0,0,0,1314,68,27,16,26,0,15,22,68,2,32,41,34,8,0,0,0,40237,33,326,11299,198,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,26,58,25,0,0,157600
10107,1,16,,,1500000US060730101071,60730101071,32.8,35.1,27.0,2794,905,307,264,0,210,0,0,124,0,124,1889,24,63,48,12,20,20,38,15,26,139,69,145,116,15,0,28,59024,16,762,20293,460,318,0,0,0,0,0,0,0,0,8,6,34,0,0,0,6,20,7,91,105,25,8,8,189300
10107,2,1,,1.0,1500000US060730101072,60730101072,37.8,36.1,39.6,1111,509,214,97,0,133,0,6,59,14,45,602,5,7,4,14,25,25,42,11,0,0,4,65,52,0,14,19,85774,63,224,21705,152,135,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,13,7,4,0,64,18,12,308800
10107,3,1,,,1500000US060730101073,60730101073,30.4,34.9,23.7,2010,275,87,7,0,181,0,0,0,0,0,1735,0,40,34,0,40,23,27,21,23,15,22,67,14,13,55,0,47000,34,360,15784,226,168,0,0,0,0,0,0,0,0,0,0,0,14,82,0,19,0,0,15,38,0,0,0,92700
10107,4,2,,,1500000US060730101074,60730101074,31.5,22.4,41.0,1095,314,147,0,10,157,0,0,0,0,0,781,18,0,31,8,22,0,0,18,6,21,25,58,35,20,28,0,73333,33,257,22454,240,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,23,0,13,241300
10109,1,4,,,1500000US060730101091,60730101091,37.2,37.5,36.6,1945,865,171,292,0,292,0,0,110,0,110,1080,25,0,0,42,41,0,0,32,38,16,62,93,42,65,28,12,74375,9,487,20923,391,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,53,31,276200
10109,2,6,,,1500000US060730101092,60730101092,28.3,28.1,30.4,2429,379,113,37,0,229,0,0,0,0,0,2050,45,50,0,19,34,47,22,20,23,34,101,97,74,29,63,0,63092,6,652,20978,421,237,0,0,0,0,0,0,0,0,37,29,13,0,10,0,0,0,0,47,79,22,0,0,266300
10110,1,4,,,1500000US060730101101,60730101101,30.1,22.9,39.1,2035,673,237,29,36,360,0,0,11,0,11,1362,18,29,21,39,84,47,38,46,24,27,38,57,42,22,0,20,38750,0,552,16386,247,305,0,0,0,16,0,0,0,0,0,0,11,0,0,14,0,13,38,68,67,78,0,0,114800
10110,2,1,,,1500000US060730101102,60730101102,28.5,25.8,28.7,2114,326,188,0,45,93,0,0,0,0,0,1788,15,18,0,51,32,32,0,0,55,0,69,72,26,18,69,0,63424,15,442,17691,326,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,25,70,0,0,294000
10110,3,13,,,1500000US060730101103,60730101103,31.6,32.2,30.5,1564,872,20,36,0,785,0,0,31,0,31,692,0,0,26,0,0,20,0,10,13,38,25,81,46,10,44,12,79258,13,312,21483,263,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,41,0,0,295600
10110,4,1,,,1500000US060730101104,60730101104,20.7,14.4,23.1,1261,161,28,30,0,94,0,0,9,0,9,1100,101,37,19,26,42,12,34,50,0,0,0,0,0,0,0,0,22837,21,300,5637,0,321,11,0,25,36,0,32,0,10,0,0,0,0,0,0,0,42,0,146,19,0,0,0,-
10110,5,5,,1.0,1500000US060730101105,60730101105,36.6,41.9,24.7,1055,526,307,48,0,92,0,0,79,0,79,529,0,21,21,0,0,42,36,0,0,1,50,31,0,26,25,24,62303,21,256,27826,218,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,17,21,0,241800
10112,1,9,,,1500000US060730101121,60730101121,26.5,24.4,27.6,3042,403,188,63,0,142,0,0,10,0,10,2639,109,125,96,6,38,56,38,34,70,66,90,83,0,32,0,0,34566,83,760,12410,40,803,0,22,8,30,16,6,0,7,0,0,31,0,8,57,64,128,23,128,173,102,0,0,10600
10112,2,1,,1.0,1500000US060730101122,60730101122,27.6,23.2,30.9,2060,439,101,275,0,14,0,0,49,0,49,1621,65,11,34,68,49,43,15,9,41,57,83,73,6,0,9,0,39271,38,525,13400,145,418,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,158,202,35,0,0,137500
12003,2,3,,,1500000US060730120032,60730120032,32.8,30.9,36.2,2445,846,127,62,0,630,0,0,27,6,21,1599,50,40,45,33,19,28,0,32,32,50,74,89,12,13,68,3,53667,32,556,17296,314,274,0,0,0,3,31,0,0,33,7,0,0,20,0,5,4,27,10,39,59,29,0,7,282700
14102,1,5,,,1500000US060730141021,60730141021,40.0,36.6,42.1,2649,2032,177,1032,0,516,0,0,307,0,307,617,50,32,0,0,40,18,38,27,30,57,123,123,51,42,59,10,63796,70,630,21417,532,168,0,0,0,0,0,0,0,10,0,47,0,0,28,0,0,0,0,31,37,0,15,0,316600
14102,2,4,,,1500000US060730141022,60730141022,42.7,44.3,42.5,1061,505,251,169,9,0,17,0,59,0,59,556,13,9,26,37,51,33,12,29,0,59,24,46,13,16,20,0,43621,0,388,20688,232,156,0,0,0,0,0,0,0,17,0,0,26,0,0,0,0,12,6,69,13,13,0,0,239800
14200,3,1,,,1500000US060730142003,60730142003,45.1,39.4,47.0,1723,1024,714,93,0,194,0,0,23,0,23,699,0,14,0,32,38,15,42,32,35,18,96,121,69,0,24,0,69130,25,511,23053,451,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,0,8,283200
16606,1,3,,,1500000US060730166061,60730166061,33.0,35.0,32.1,1995,1568,1270,0,0,191,0,0,107,0,107,427,10,17,0,10,8,70,24,26,48,87,81,100,112,43,35,62,73550,19,714,33421,512,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,68,24,0,20,26,315800
17014,2,1,,3.0,1500000US060730170142,60730170142,69.3,68.5,70.0,1255,1167,1158,0,0,9,0,0,0,0,0,88,23,35,7,51,105,50,65,14,28,55,42,119,81,73,26,16,53021,0,790,43380,638,152,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,6,99,8,10,382500
17018,1,1,,,1500000US060730170181,60730170181,37.6,37.5,40.0,2579,2227,676,98,0,1271,0,0,182,0,182,352,28,36,50,71,21,50,9,55,44,153,72,125,69,20,44,24,53281,7,864,24849,286,585,0,6,9,23,0,8,0,58,12,0,5,0,0,0,0,0,0,98,257,57,52,0,196400
17018,2,1,,,1500000US060730170182,60730170182,38.3,37.4,40.2,1646,1536,1011,85,28,244,37,0,131,8,123,110,9,14,26,40,31,7,14,94,47,107,90,182,99,13,9,40,61375,32,790,37929,496,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,127,57,37,21,240400
17019,3,1,,8.0,1500000US060730170193,60730170193,55.1,52.3,56.7,3019,2639,2088,45,0,438,0,0,68,0,68,380,13,13,25,65,0,28,134,39,60,41,101,113,106,28,212,194,86618,0,1172,47672,1001,171,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,26,13,66,0,12,650100
17022,6,1,,1.0,1500000US060730170226,60730170226,38.9,39.6,38.1,1326,1179,1007,21,0,93,0,0,58,0,58,147,0,0,7,0,16,0,0,0,27,36,36,28,112,66,76,93,120893,0,497,54046,235,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,143,107,0,653900
17030,1,1,,28.0,1500000US060730170301,60730170301,37.3,40.3,33.9,13469,12304,7210,430,76,3931,0,54,603,0,603,1165,29,140,0,21,54,67,51,144,147,78,475,287,403,349,614,1463,142460,28,4294,55531,3537,785,0,0,0,0,0,0,0,0,0,0,0,70,0,26,0,0,0,130,82,178,274,25,689300
17030,4,1,,3.0,1500000US060730170304,60730170304,34.1,29.6,39.8,3571,3333,1144,0,0,2012,0,0,177,0,177,238,0,0,0,0,0,9,0,0,0,40,166,293,68,47,321,181,124112,0,1125,42657,563,562,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,301,151,52,0,571200
17031,2,1,,1.0,1500000US060730170312,60730170312,41.4,33.9,42.0,878,800,624,0,52,39,0,0,85,0,85,78,27,8,7,12,0,0,32,15,6,14,44,36,41,34,20,49,76250,0,345,37100,255,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,43,21,6,388800
17033,1,1,,,1500000US060730170331,60730170331,31.3,28.8,37.3,1651,1267,699,34,0,448,0,0,86,0,86,384,9,19,10,0,0,0,15,29,0,49,84,75,93,47,65,16,88385,0,511,31339,203,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42,39,164,46,0,357200
17033,3,1,,1.0,1500000US060730170333,60730170333,41.6,44.2,40.0,2602,2331,952,9,0,1089,0,166,115,0,115,271,8,0,0,0,9,19,9,56,8,8,31,76,81,142,175,138,140455,8,752,42750,671,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,636600
17035,1,3,,,1500000US060730170351,60730170351,39.6,42.5,37.1,876,800,619,0,8,106,0,0,67,0,67,76,16,0,0,0,0,0,0,0,0,0,14,56,65,20,45,50,117500,0,266,45823,209,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,0,588700
17036,1,1,,,1500000US060730170361,60730170361,27.2,21.9,35.6,1375,1167,577,8,0,401,0,0,181,0,181,208,9,11,0,21,9,27,37,13,26,58,59,70,117,0,12,20,70906,0,489,28418,231,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,137,0,21,244800
17037,3,1,,,1500000US060730170373,60730170373,41.6,41.4,41.8,1609,1317,691,49,0,531,0,0,46,0,46,292,63,13,0,14,28,13,0,13,18,31,88,54,36,63,118,44,89524,24,572,38505,419,177,0,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0,0,81,15,29,0,18,613400
17039,2,8,,3.0,1500000US060730170392,60730170392,34.3,32.6,38.0,3526,3350,1699,34,0,1293,0,0,324,0,324,176,38,0,118,8,12,35,21,80,15,72,220,246,153,113,175,125,86442,10,1421,44553,846,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,103,206,118,115,0,357400
17042,1,2,,1.0,1500000US060730170421,60730170421,30.8,34.8,29.7,3502,3365,1509,0,0,1802,0,0,54,0,54,137,29,0,48,10,18,0,0,0,8,43,0,39,82,151,227,284,163813,0,939,43247,882,57,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,42,0,663000
17042,3,5,,,1500000US060730170423,60730170423,35.3,37.3,32.2,2648,2564,1756,74,0,500,0,0,234,0,234,84,16,38,12,0,26,17,0,16,0,20,54,178,79,26,201,180,120368,0,863,49412,648,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,109,81,9,550500
17046,1,1,,1.0,1500000US060730170461,60730170461,41.1,40.9,41.5,2521,2463,1716,41,0,663,0,0,43,0,43,58,70,0,14,0,8,4,38,32,21,34,34,125,107,37,218,215,123988,10,947,56184,840,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,59,0,597500
17055,1,1,,,1500000US060730170551,60730170551,44.4,44.1,44.7,1191,1074,928,13,8,81,0,0,44,0,44,117,7,6,0,21,20,19,0,10,0,43,30,73,86,17,153,44,105398,13,516,56874,430,99,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,68,0,12,460000
18611,2,1,,,1500000US060730186112,60730186112,41.0,42.2,40.7,4236,3563,2411,141,0,490,422,0,99,21,78,673,49,34,15,31,0,17,53,90,14,75,30,284,115,60,175,213,98464,21,1234,34543,1090,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,95,17,483800
21400,1,7,,28.0,1500000US060730214001,60730214001,27.7,24.6,31.1,4154,3426,2615,251,37,380,10,0,133,0,133,728,0,56,53,139,48,26,55,134,50,123,115,170,97,78,54,150,59621,2,1346,36997,616,732,0,0,0,0,0,0,0,0,0,0,47,0,0,15,0,56,0,66,22,39,481,6,639300
21400,3,3,,,1500000US060730214003,60730214003,48.0,49.0,48.0,988,875,781,9,0,45,0,0,40,0,40,113,0,25,30,0,22,16,30,10,13,78,86,99,74,12,42,14,70703,0,551,45837,184,367,0,0,9,0,0,0,0,0,0,0,0,0,0,32,0,24,22,95,47,82,21,35,454500
21500,1,1,,2.0,1500000US060730215001,60730215001,38.4,40.1,36.9,5339,4517,2316,46,113,1921,0,0,121,50,71,822,26,0,9,55,86,15,29,0,33,21,67,145,284,164,264,443,137050,74,1567,50442,1329,312,0,0,0,0,0,58,0,0,15,0,0,0,0,23,0,0,0,6,17,0,146,47,860100
21500,2,1,,5.0,1500000US060730215002,60730215002,42.1,40.6,43.4,2927,2907,2174,14,0,665,0,0,54,0,54,20,22,5,40,0,0,8,0,0,0,35,0,12,71,49,192,472,202955,0,906,76546,790,116,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,10,0,8,0,45,22,"1,000,000+"
