tract,blockgroup,count,landarea,cent_lat,cent_lon,sl_density
100.0,1.0,47,663915,+32.7544143,-117.1827574,7.0792194784e-05
100.0,2.0,99,877541,+32.7519389,-117.1882694,0.000112815241681
201.0,1.0,61,864211,+32.7540028,-117.1733775,7.05846141741e-05
202.0,1.0,67,398313,+32.7439010,-117.1773380,0.000168209423243
202.0,2.0,51,346436,+32.7475718,-117.1791893,0.000147213338106
202.0,3.0,66,561250,+32.7451109,-117.1711131,0.000117594654788
300.0,1.0,9,123593,+32.7473602,-117.1666806,7.28196580712e-05
300.0,2.0,48,142238,+32.7467016,-117.1616946,0.000337462562747
300.0,3.0,50,329534,+32.7442234,-117.1587548,0.000151729411836
300.0,4.0,7,99553,+32.7430139,-117.1627521,7.03143049431e-05
300.0,5.0,20,203843,+32.7436490,-117.1655925,9.81147255486e-05
400.0,1.0,36,480192,+32.7545438,-117.1617092,7.49700119952e-05
400.0,2.0,61,267827,+32.7496873,-117.1604516,0.000227758963809
400.0,3.0,24,429433,+32.7542669,-117.1662252,5.58876471999e-05
500.0,1.0,55,649216,+32.7624613,-117.1519868,8.47175670347e-05
500.0,2.0,21,406500,+32.7586342,-117.1532878,5.16605166052e-05
500.0,3.0,10,134618,+32.7581356,-117.1497189,7.42842710484e-05
600.0,1.0,20,217747,+32.7554285,-117.1493074,9.18497154955e-05
600.0,2.0,36,396493,+32.7537990,-117.1548290,9.0796054407e-05
600.0,3.0,78,318042,+32.7503205,-117.1500392,0.000245250627276
700.0,1.0,43,369859,+32.7450063,-117.1539374,0.000116260520901
700.0,2.0,42,251337,+32.7459696,-117.1488433,0.000167106315425
700.0,3.0,23,158842,+32.7422747,-117.1492951,0.000144797975347
800.0,1.0,9,126543,+32.7470238,-117.1400412,7.11220691781e-05
800.0,2.0,8,142596,+32.7439171,-117.1398307,5.61025554714e-05
800.0,3.0,18,193172,+32.7424967,-117.1429981,9.3181206386e-05
800.0,4.0,25,171940,+32.7464164,-117.1442217,0.000145399557985
900.0,1.0,21,158718,+32.7537247,-117.1400499,0.000132310134956
900.0,2.0,17,95977,+32.7503168,-117.1388058,0.000177125769716
900.0,3.0,14,95834,+32.7503126,-117.1412761,0.000146085940272
900.0,4.0,20,73996,+32.7493632,-117.1444141,0.000270284880264
900.0,5.0,11,73908,+32.7512263,-117.1444271,0.000148833685122
900.0,6.0,29,123249,+32.7537067,-117.1444399,0.000235296026743
1000.0,1.0,50,351752,+32.7635700,-117.1414317,0.000142145602584
1000.0,2.0,19,167393,+32.7600382,-117.1419406,0.000113505343712
1000.0,3.0,19,168186,+32.7581695,-117.1419391,0.000112970163985
1000.0,4.0,29,177578,+32.7562461,-117.1419333,0.000163308517947
1100.0,1.0,32,624270,+32.7666255,-117.1337425,5.12598715299e-05
1100.0,2.0,39,178422,+32.7624523,-117.1311357,0.000218582910179
1100.0,3.0,21,133262,+32.7627882,-117.1356437,0.000157584307605
1200.0,1.0,37,173540,+32.7578290,-117.1274219,0.000213207329722
1200.0,2.0,32,146541,+32.7581715,-117.1301781,0.000218368920643
1200.0,3.0,20,147042,+32.7581641,-117.1326547,0.00013601556018
1200.0,4.0,21,220280,+32.7581423,-117.1357528,9.53332122753e-05
1300.0,1.0,37,159305,+32.7537609,-117.1289298,0.000232258874486
1300.0,2.0,67,192864,+32.7503339,-117.1289171,0.000347395055583
1300.0,3.0,43,144313,+32.7515813,-117.1344800,0.000297963454436
1300.0,4.0,15,168135,+32.7543721,-117.1329470,8.92140244446e-05
1300.0,5.0,27,120716,+32.7493936,-117.1344699,0.000223665462739
1400.0,1.0,58,204723,+32.7462893,-117.1304763,0.000283309642786
1400.0,2.0,41,206768,+32.7423031,-117.1319802,0.000198289870773
1400.0,3.0,39,334835,+32.7452975,-117.1353530,0.000116475278869
1500.0,1.0,26,211622,+32.7458285,-117.1227490,0.000122860572152
1500.0,2.0,22,235005,+32.7416744,-117.1202955,9.36150294675e-05
1500.0,3.0,15,190413,+32.7419786,-117.1252525,7.87761339824e-05
1500.0,4.0,22,156693,+32.7461279,-117.1266192,0.000140401932441
1600.0,1.0,46,201912,+32.7524065,-117.1174000,0.000227822021475
1600.0,2.0,31,150302,+32.7527488,-117.1204973,0.00020625141382
1600.0,3.0,29,153541,+32.7522285,-117.1228434,0.000188874632834
1600.0,4.0,35,182416,+32.7513473,-117.1250620,0.000191869134286
1700.0,1.0,24,154005,+32.7582998,-117.1166732,0.000155839096133
1700.0,2.0,26,177636,+32.7579589,-117.1194706,0.000146366727465
1700.0,3.0,34,206755,+32.7579716,-117.1227504,0.000164445841697
1700.0,4.0,8,94357,+32.7592988,-117.1252000,8.47843827167e-05
1800.0,1.0,28,169457,+32.7619822,-117.1119106,0.000165233658096
1800.0,2.0,28,144490,+32.7629759,-117.1158402,0.000193785037027
1800.0,3.0,45,130314,+32.7622012,-117.1202000,0.000345319766103
1800.0,4.0,20,107820,+32.7621991,-117.1250606,0.000185494342423
1800.0,5.0,18,97472,+32.7643897,-117.1194997,0.000184668417597
1800.0,6.0,25,100644,+32.7644053,-117.1240381,0.000248400302055
1900.0,1.0,24,791444,+32.7698524,-117.1246003,3.03243185873e-05
1900.0,2.0,50,812469,+32.7701424,-117.1149467,6.1540809557e-05
1900.0,3.0,11,182685,+32.7663267,-117.1206742,6.02129348332e-05
2001.0,1.0,71,384056,+32.7697627,-117.1066610,0.000184868873289
2001.0,2.0,125,1733814,+32.7716456,-117.1043921,7.20953920086e-05
2001.0,3.0,70,342663,+32.7613844,-117.1015355,0.000204282341543
2002.0,1.0,93,516566,+32.7658586,-117.0902076,0.000180035077802
2002.0,2.0,122,767589,+32.7636813,-117.0947541,0.000158939223986
2100.0,1.0,55,275363,+32.7617346,-117.1069693,0.000199736348021
2100.0,2.0,25,168547,+32.7567894,-117.1038012,0.00014832657953
2100.0,3.0,17,122186,+32.7570007,-117.1076927,0.000139132142799
2100.0,4.0,18,159307,+32.7576094,-117.1108512,0.000112989385275
2100.0,5.0,25,165914,+32.7578364,-117.1139667,0.000150680473016
2201.0,1.0,40,223204,+32.7525388,-117.1113275,0.000179208257917
2201.0,2.0,29,134163,+32.7523840,-117.1144392,0.000216154975664
2202.0,1.0,38,129908,+32.7523089,-117.1019826,0.000292514702713
2202.0,2.0,31,155305,+32.7525615,-117.1044792,0.000199607224494
2202.0,3.0,32,201668,+32.7523277,-117.1075906,0.000158676636849
2301.0,1.0,27,118180,+32.7576864,-117.0901086,0.000228465053309
2301.0,2.0,25,104961,+32.7572512,-117.0938846,0.000238183706329
2301.0,3.0,29,200184,+32.7572015,-117.0979723,0.000144866722615
2302.0,1.0,37,210229,+32.7543374,-117.0961635,0.000175998553958
2302.0,2.0,25,155506,+32.7522700,-117.0965384,0.00016076550101
2302.0,3.0,33,163089,+32.7504886,-117.0965691,0.000202343505693
2401.0,1.0,32,210378,+32.7469622,-117.1113246,0.000152107159494
2401.0,2.0,26,191944,+32.7471589,-117.1148343,0.000135456174718
2401.0,3.0,35,251560,+32.7471033,-117.1187179,0.000139131817459
2402.0,1.0,46,208472,+32.7468248,-117.1027022,0.000220653133274
2402.0,2.0,45,294397,+32.7468056,-117.1070243,0.000152854818493
2501.0,1.0,36,678342,+32.7380994,-117.1095942,5.30705750197e-05
2501.0,2.0,21,371117,+32.7423170,-117.1127885,5.65859284269e-05
2501.0,3.0,18,206935,+32.7422983,-117.1041651,8.69838355039e-05
2502.0,1.0,79,1029533,+32.7241391,-117.1108717,7.67338200912e-05
2502.0,2.0,52,528172,+32.7317066,-117.1034745,9.8452776747e-05
2502.0,3.0,42,335631,+32.7348737,-117.1065744,0.000125137427711
2601.0,1.0,31,251073,+32.7430480,-117.0987931,0.000123470066475
2601.0,2.0,94,332355,+32.7477181,-117.0966183,0.000282830106362
2601.0,3.0,23,251658,+32.7430655,-117.0944717,9.13938758156e-05
2602.0,1.0,19,272561,+32.7375660,-117.0984021,6.97091660216e-05
2602.0,2.0,19,236547,+32.7371672,-117.0943230,8.03223038128e-05
2602.0,3.0,26,258144,+32.7325627,-117.0987890,0.000100718978555
2702.0,1.0,24,234042,+32.7581849,-117.0697900,0.000102545696926
2702.0,2.0,31,414583,+32.7536912,-117.0690701,7.47739294665e-05
2702.0,3.0,70,710948,+32.7532037,-117.0759691,9.84600842818e-05
2703.0,1.0,43,482396,+32.7489833,-117.0671988,8.9138384232e-05
2703.0,2.0,35,316608,+32.7454182,-117.0653256,0.000110546796038
2703.0,3.0,57,425084,+32.7455825,-117.0756691,0.000134091144339
2703.0,4.0,86,761263,+32.7422573,-117.0596330,0.000112970156175
2705.0,1.0,80,700063,+32.7308408,-117.0837145,0.000114275429497
2705.0,2.0,49,527245,+32.7378902,-117.0833919,9.29359216304e-05
2707.0,1.0,14,106482,+32.7546896,-117.0905724,0.000131477620631
2707.0,2.0,12,80489,+32.7548505,-117.0879084,0.00014908869535
2707.0,3.0,31,117438,+32.7512943,-117.0885293,0.000263969073043
2707.0,4.0,14,79145,+32.7513115,-117.0911857,0.000176890517405
2708.0,1.0,25,165559,+32.7552225,-117.0812058,0.000151003569724
2708.0,2.0,82,218713,+32.7512828,-117.0820803,0.000374920557992
2708.0,3.0,14,115558,+32.7553041,-117.0843137,0.000121151283338
2708.0,4.0,17,139998,+32.7510443,-117.0864515,0.000121430306147
2709.0,1.0,29,271488,+32.7458905,-117.0882771,0.000106818717586
2709.0,2.0,47,349333,+32.7425185,-117.0906967,0.000134542113113
2710.0,1.0,30,233007,+32.7463368,-117.0818739,0.000128751496736
2710.0,2.0,45,452704,+32.7427189,-117.0858353,9.94027002191e-05
2711.0,1.0,20,969550,+32.7392472,-117.0716346,2.06281264504e-05
2711.0,2.0,42,390676,+32.7400539,-117.0762187,0.000107505964021
2712.0,1.0,63,1349228,+32.7320561,-117.0689777,4.66933683558e-05
2712.0,2.0,36,337744,+32.7303521,-117.0787620,0.000106589606329
2712.0,3.0,28,507529,+32.7232735,-117.0807963,5.51692612639e-05
2801.0,1.0,77,2001683,+32.7757556,-117.0882662,3.84676294898e-05
2801.0,2.0,63,864562,+32.7749240,-117.0733220,7.28692679068e-05
2803.0,1.0,53,164822,+32.7581390,-117.0839054,0.00032155901518
2803.0,2.0,16,226938,+32.7615158,-117.0858900,7.05038380527e-05
2803.0,3.0,7,229224,+32.7650390,-117.0847850,3.05378145395e-05
2803.0,4.0,48,488177,+32.7662775,-117.0818671,9.83249927793e-05
2804.0,1.0,58,449825,+32.7687115,-117.0738622,0.000128939031846
2804.0,2.0,50,690703,+32.7642511,-117.0730744,7.23900142319e-05
2804.0,3.0,37,330315,+32.7603347,-117.0756864,0.00011201428939
2902.0,1.0,195,839783,+32.7620131,-117.0558877,0.000232202842877
2902.0,2.0,108,757629,+32.7586341,-117.0622872,0.000142549981587
2903.0,1.0,49,622660,+32.7492972,-117.0586435,7.86946327048e-05
2903.0,2.0,53,456144,+32.7527989,-117.0536169,0.000116191378161
2903.0,3.0,33,328662,+32.7468352,-117.0514523,0.000100407105172
2904.0,1.0,73,994239,+32.7743246,-117.0615404,7.34229898445e-05
2904.0,2.0,56,302739,+32.7692090,-117.0682333,0.000184977819178
2904.0,3.0,29,243915,+32.7679788,-117.0597304,0.000118893876965
2904.0,4.0,37,261569,+32.7652570,-117.0645431,0.000141454071392
2905.0,1.0,22,291736,+32.7685903,-117.0500462,7.54106452409e-05
2905.0,2.0,16,272343,+32.7691597,-117.0435075,5.87494446342e-05
2905.0,3.0,43,582179,+32.7733507,-117.0523153,7.38604449834e-05
3001.0,1.0,59,769460,+32.7223119,-117.0709142,7.66771502092e-05
3001.0,2.0,58,745079,+32.7173735,-117.0798199,7.78440943846e-05
3001.0,3.0,87,863296,+32.7132971,-117.0755326,0.000100776558677
3003.0,1.0,70,1377640,+32.7304908,-117.0577466,5.08115327662e-05
3003.0,2.0,62,1085857,+32.7223628,-117.0597988,5.70977578079e-05
3003.0,3.0,41,810622,+32.7194589,-117.0542176,5.05784447005e-05
3004.0,1.0,48,556925,+32.7126041,-117.0670288,8.61875476949e-05
3004.0,2.0,79,714077,+32.7134551,-117.0558244,0.000110632326766
3101.0,1.0,45,287347,+32.7025793,-117.0804688,0.000156605080269
3101.0,2.0,34,383759,+32.7002752,-117.0789413,8.85972706829e-05
3101.0,3.0,37,379105,+32.6961383,-117.0810813,9.7598290711e-05
3103.0,1.0,70,640104,+32.7065726,-117.0362853,0.00010935722945
3103.0,2.0,90,885275,+32.7062974,-117.0499280,0.000101663324956
3103.0,3.0,74,514267,+32.7098993,-117.0467913,0.000143894125036
3105.0,1.0,82,836695,+32.7121048,-117.0305764,9.80046492449e-05
3105.0,2.0,50,373809,+32.7075489,-117.0273173,0.000133758149215
3107.0,1.0,109,859851,+32.7106648,-117.0224629,0.000126766149019
3107.0,2.0,44,423457,+32.7012839,-117.0259074,0.00010390665404
3107.0,3.0,10,288854,+32.7004706,-117.0203515,3.46195655937e-05
3109.0,1.0,29,370540,+32.6910273,-117.0509075,7.8264155017e-05
3109.0,2.0,29,251569,+32.6909008,-117.0569164,0.000115276524532
3109.0,3.0,44,472171,+32.6929918,-117.0586343,9.31865785912e-05
3111.0,1.0,47,339872,+32.7079812,-117.0800716,0.00013828735524
3111.0,2.0,44,473856,+32.7050779,-117.0761004,9.28552133982e-05
3111.0,3.0,58,630896,+32.6961250,-117.0741376,9.19327432731e-05
3112.0,1.0,52,614131,+32.7086218,-117.0565050,8.4672488443e-05
3112.0,2.0,97,889165,+32.7057283,-117.0660797,0.000109091113573
3113.0,1.0,154,935396,+32.6977990,-117.0607159,0.000164636154099
3113.0,2.0,71,652944,+32.6938713,-117.0698718,0.000108738268519
3114.0,1.0,25,303377,+32.7000142,-117.0398828,8.24057196162e-05
3114.0,2.0,62,832583,+32.6997221,-117.0468684,7.44670501319e-05
3115.0,1.0,18,242118,+32.6984268,-117.0299925,7.43439149506e-05
3115.0,2.0,31,287942,+32.6942083,-117.0355454,0.000107660570532
3115.0,3.0,34,434294,+32.6980456,-117.0355587,7.8287980032e-05
3115.0,4.0,58,568514,+32.6931805,-117.0444420,0.00010202035482
3201.0,1.0,39,301011,+32.6808177,-117.0683047,0.000129563371438
3201.0,2.0,47,613533,+32.6859180,-117.0543638,7.66054963629e-05
3201.0,3.0,41,703407,+32.6850449,-117.0607552,5.8287733844e-05
3202.0,1.0,35,474385,+32.6763538,-117.0652732,7.37797358685e-05
3202.0,2.0,59,831954,+32.6695108,-117.0638646,7.09173824514e-05
3208.0,1.0,7,121557,+32.6864079,-117.0481223,5.75861529982e-05
3208.0,2.0,25,213844,+32.6840684,-117.0462833,0.000116907652307
3208.0,3.0,5,141850,+32.6807590,-117.0446213,3.52485019387e-05
3208.0,4.0,30,211848,+32.6780845,-117.0424303,0.000141610966353
3208.0,5.0,63,669110,+32.6753334,-117.0454224,9.41549222101e-05
3209.0,1.0,47,614394,+32.6872961,-117.0407884,7.64981428855e-05
3209.0,2.0,68,488835,+32.6809070,-117.0361898,0.000139106242393
3209.0,3.0,18,214466,+32.6790866,-117.0388095,8.39293874087e-05
3211.0,1.0,54,588036,+32.6760508,-117.0561289,9.18311123809e-05
3211.0,2.0,24,269702,+32.6808838,-117.0517996,8.89871042855e-05
3212.0,1.0,50,464926,+32.6674318,-117.0523849,0.000107543996249
3212.0,2.0,72,803843,+32.6709119,-117.0545579,8.95697294123e-05
3213.0,1.0,44,672569,+32.6888741,-117.0285123,6.5420796974e-05
3213.0,2.0,50,524478,+32.6880795,-117.0336957,9.53328833621e-05
3214.0,1.0,14,574243,+32.6933586,-117.0219467,2.43799227853e-05
3214.0,3.0,5,230730,+32.6915701,-117.0247178,2.16703506263e-05
3301.0,1.0,66,456389,+32.6985451,-117.1008495,0.000144613476661
3301.0,2.0,77,1070245,+32.7045358,-117.1023429,7.19461431728e-05
3303.0,1.0,6,208346,+32.6903400,-117.0983788,2.87982490665e-05
3303.0,2.0,72,410357,+32.6940534,-117.0987858,0.000175456980142
3304.0,1.0,35,221763,+32.7059566,-117.0932116,0.000157826147734
3304.0,2.0,34,367176,+32.7072030,-117.0885503,9.25986447916e-05
3305.0,1.0,67,433449,+32.7019416,-117.0903834,0.000154574125214
3305.0,2.0,33,325624,+32.6984925,-117.0895562,0.000101343881286
3305.0,3.0,60,530384,+32.6941911,-117.0901211,0.000113125584482
3401.0,1.0,47,597688,+32.7310972,-117.0939213,7.86363453842e-05
3401.0,2.0,58,1095513,+32.7223415,-117.1012128,5.29432329877e-05
3401.0,3.0,29,311350,+32.7196919,-117.0891926,9.31427653766e-05
3401.0,4.0,86,800484,+32.7262393,-117.0897175,0.000107435001824
3403.0,1.0,53,731374,+32.7154348,-117.1114843,7.24663441686e-05
3403.0,2.0,55,339843,+32.7132794,-117.1066079,0.000161839437623
3403.0,3.0,39,315650,+32.7099169,-117.1040348,0.000123554569935
3404.0,1.0,75,763362,+32.7136965,-117.0893563,9.82495853867e-05
3404.0,2.0,65,907301,+32.7142362,-117.0978250,7.16410540714e-05
3501.0,1.0,43,524232,+32.7042659,-117.1122724,8.20247523997e-05
3501.0,2.0,28,209963,+32.7038688,-117.1186312,0.000133356829537
3501.0,3.0,24,450931,+32.7090817,-117.1153684,5.3223220404e-05
3502.0,1.0,27,214159,+32.6985960,-117.1187401,0.000126074552085
3502.0,2.0,46,331922,+32.6985730,-117.1094135,0.000138586776411
3502.0,3.0,41,233590,+32.6986366,-117.1146307,0.000175521212381
3601.0,1.0,104,897314,+32.6909981,-117.1165301,0.000115901457015
3602.0,1.0,71,374614,+32.6929528,-117.1052610,0.000189528421255
3602.0,2.0,37,280825,+32.6929149,-117.1102783,0.000131754651473
3603.0,1.0,37,259423,+32.6871318,-117.1103976,0.000142624208339
3603.0,2.0,26,230776,+32.6848546,-117.1063686,0.000112663361875
3603.0,3.0,14,187488,+32.6882173,-117.1052180,7.46714456392e-05
3800.0,1.0,77,1802204,+32.6835337,-117.1207979,4.27254628222e-05
3901.0,1.0,35,223160,+32.7042030,-117.1225554,0.000156838143036
3901.0,2.0,32,202340,+32.7042748,-117.1292025,0.000158149649105
3901.0,3.0,35,216086,+32.7022204,-117.1288765,0.000161972547967
3902.0,1.0,60,336971,+32.6994484,-117.1294499,0.000178056865428
3902.0,2.0,37,323348,+32.6979818,-117.1228473,0.000114427799151
3902.0,3.0,49,355710,+32.6941023,-117.1282376,0.000137752663687
3902.0,4.0,28,150992,+32.6968615,-117.1289907,0.000185440288227
4000.0,1.0,55,293246,+32.7093167,-117.1224458,0.000187555840489
4000.0,2.0,37,140645,+32.7069300,-117.1273797,0.000263073696185
4000.0,3.0,56,212873,+32.7102713,-117.1286895,0.000263067650665
4000.0,4.0,49,209330,+32.7077472,-117.1318686,0.000234080160512
4100.0,1.0,30,92366,+32.7179470,-117.1317106,0.000324794837927
4100.0,2.0,105,380056,+32.7137161,-117.1381057,0.000276275075252
4100.0,3.0,52,194982,+32.7151261,-117.1309105,0.000266691284324
4100.0,4.0,100,847384,+32.7149318,-117.1246180,0.000118010252731
4200.0,1.0,62,1086496,+32.7287908,-117.1167176,5.70641769505e-05
4200.0,2.0,59,667917,+32.7340710,-117.1206945,8.8334328966e-05
4200.0,3.0,29,264329,+32.7227263,-117.1247703,0.000109711760722
4200.0,4.0,26,474314,+32.7259543,-117.1212151,5.4816007961e-05
4300.0,1.0,14,164779,+32.7392663,-117.1314594,8.49622828152e-05
4300.0,2.0,60,505311,+32.7353279,-117.1272233,0.000118738756924
4300.0,3.0,38,348184,+32.7335538,-117.1315409,0.000109137697309
4400.0,1.0,83,282708,+32.7216057,-117.1279476,0.000293589144984
4400.0,2.0,71,260739,+32.7270402,-117.1277780,0.000272302954295
4400.0,3.0,37,212955,+32.7269254,-117.1321155,0.00017374562701
4400.0,4.0,48,185844,+32.7217328,-117.1320767,0.00025828113902
4501.0,1.0,43,164495,+32.7176294,-117.1360148,0.000261406121767
4501.0,2.0,38,79565,+32.7176437,-117.1392394,0.000477596933325
4501.0,3.0,46,83911,+32.7176260,-117.1413943,0.000548199878443
4600.0,1.0,65,195699,+32.7169839,-117.1446108,0.000332142729396
4600.0,2.0,68,191374,+32.7133285,-117.1451966,0.000355325174789
4700.0,1.0,48,134180,+32.7102821,-117.1448627,0.000357728424504
4700.0,2.0,60,214309,+32.7072051,-117.1452161,0.000279969576639
4800.0,1.0,46,141343,+32.7100391,-117.1359910,0.0003254494386
4800.0,2.0,59,188286,+32.7094888,-117.1402846,0.000313353090511
4800.0,3.0,92,233339,+32.7066632,-117.1377112,0.000394276139008
4900.0,1.0,14,134353,+32.7027506,-117.1352187,0.000104203106741
4900.0,2.0,23,247283,+32.6990099,-117.1363781,9.3010841829e-05
4900.0,3.0,53,394110,+32.7033228,-117.1412831,0.000134480221258
5000.0,1.0,123,1459894,+32.6948583,-117.1411804,8.42526923188e-05
5100.0,1.0,223,226614,+32.7089039,-117.1498194,0.000984052176829
5100.0,2.0,426,1392601,+32.7028942,-117.1532998,0.000305902408515
5200.0,1.0,520,565883,+32.7151358,-117.1512987,0.000918917868181
5200.0,2.0,198,173413,+32.7168177,-117.1547726,0.00114178291132
